Name,Current Price,Original Price,Discount
Apple iPhone 14 Pro,"Rs. 505,999","Rs. 520,999",(3% OFF)
Apple iPhone 14 Plus,"Rs. 499,999",,
Apple iPhone 14 Pro Max,"Rs. 520,999",,
Apple iPhone 14,"Rs. 385,999",,
Apple iPhone 11,"Rs. 144,900",,
Apple iPhone 13,"Rs. 334,999",,
Apple iPhone 12 Mini,"Rs. 157,399",,
Apple iPhone 12 Pro,"Rs. 220,899",,
Apple iPhone 12,"Rs. 175,599",,
Apple iPhone 12 Pro Max,"Rs. 235,999",,
Apple iPhone 7 Plus,"Rs. 80,000",,
Apple iPhone XS Max,"Rs. 167,499",,
Apple iPhone 6s Plus,"Rs. 38,799",,
Apple iPhone 13 Pro,"Rs. 342,000",,
Apple iPhone 13 Mini,"Rs. 223,400",,
Apple iPhone XR,"Rs. 151,799",,
Apple iPhone 7,"Rs. 64,299",,
Apple iPhone 11 Pro Max,"Rs. 226,600",,
Apple iPhone 13 Pro Max,"Rs. 369,600",,
Apple iPhone 11 Pro,"Rs. 207,800",,
Apple iPhone SE 2020,"Rs. 92,499",,
Apple iPhone SE 2022,"Rs. 97,999",,
Apple iPhone 8 Plus,"Rs. 123,299",,
Apple iPhone 6,"Rs. 43,999",,
Apple iPhone X,"Rs. 141,999",,
Apple iPhone 6s,"Rs. 77,599",,
Apple iPhone SE,"Rs. 31,500",,
Apple iPhone 5,"Rs. 25,799",,
Apple iPhone 6 Plus,"Rs. 42,999",,
Apple iPhone 5s,"Rs. 25,799",,
Apple iPhone 8,"Rs. 94,999",,
Apple iPhone 5c,"Rs. 28,300",,
Apple iPhone XS,"Rs. 158,999",,
